会员ID,性别,会员等级,注册渠道,年龄,职业,所在城市,家庭阶段,是否付费会员
B0179,女,普通,外卖平台导流,28,企业职员,杭州,银发族,否
B0180,女,普通,线下扫码,50,自由职业,重庆,单身青年,否
B0181,女,银卡,微信小程序,34,全职主妇,深圳,三口之家,否
B0182,女,金卡,微信小程序,46,企业职员,天津,二人世界,是
B0183,男,普通,微信小程序,45,企业职员,广州,银发族,否
B0184,女,普通,微信小程序,40,企业职员,成都,三口之家,否
B0185,男,银卡,外卖平台导流,37,自由职业,深圳,三口之家,否
B0186,男,银卡,App自然注册,48,互联网从业,上海,三口之家,否
B0187,女,普通,社群裂变,27,公务员,郑州,银发族,否
B0188,男,黑金,社群裂变,35,全职主妇,武汉,三口之家,是
B0189,男,普通,社群裂变,37,互联网从业,重庆,银发族,否
B0190,男,金卡,微信小程序,33,互联网从业,武汉,单身青年,是
B0191,女,银卡,App自然注册,41,全职主妇,西安,银发族,否
B0192,女,普通,外卖平台导流,50,自由职业,武汉,单身青年,否
B0193,男,普通,外卖平台导流,44,互联网从业,成都,单身青年,否
B0194,男,银卡,App自然注册,44,全职主妇,上海,二人世界,否
B0195,男,普通,App自然注册,46,企业职员,北京,银发族,否
B0196,女,普通,社群裂变,25,全职主妇,广州,三口之家,否
B0197,男,普通,微信小程序,36,企业职员,上海,三口之家,否
B0198,女,金卡,线下扫码,42,其他,深圳,多口之家,是
B0199,女,普通,App自然注册,52,企业职员,深圳,三口之家,否
B0200,女,普通,App自然注册,28,企业职员,西安,三口之家,否
B0201,男,银卡,微信小程序,36,公务员,上海,三口之家,否
B0202,女,普通,App自然注册,25,服务业,天津,单身青年,否
B0203,男,普通,社群裂变,36,自由职业,广州,二人世界,否
B0204,男,普通,微信小程序,38,全职主妇,武汉,三口之家,否
B0205,男,金卡,App自然注册,43,企业职员,武汉,二人世界,是
B0206,女,普通,线下扫码,36,全职主妇,成都,三口之家,否
B0207,女,普通,社群裂变,45,其他,成都,银发族,否
B0208,女,普通,社群裂变,40,全职主妇,重庆,银发族,否
B0209,男,普通,线下扫码,38,企业职员,广州,多口之家,否
B0210,男,普通,微信小程序,36,服务业,其他,三口之家,否
B0211,男,金卡,微信小程序,37,企业职员,深圳,二人世界,否
B0212,男,普通,App自然注册,27,企业职员,武汉,三口之家,否
B0213,女,金卡,App自然注册,35,企业职员,深圳,二人世界,否
B0214,男,金卡,App自然注册,41,企业职员,武汉,单身青年,是
B0215,女,普通,线下扫码,28,企业职员,上海,二人世界,否
B0216,女,普通,社群裂变,50,服务业,上海,多口之家,否
B0217,女,普通,地推活动,34,服务业,广州,多口之家,否
B0218,男,金卡,微信小程序,33,企业职员,深圳,单身青年,否
B0219,女,银卡,外卖平台导流,30,自由职业,武汉,单身青年,否
B0220,女,普通,社群裂变,47,服务业,成都,多口之家,否
B0221,男,普通,微信小程序,43,自由职业,成都,单身青年,否
B0222,男,银卡,线下扫码,26,互联网从业,杭州,三口之家,否
B0223,男,普通,外卖平台导流,45,互联网从业,长沙,三口之家,否
B0224,女,普通,微信小程序,50,企业职员,深圳,银发族,否
B0225,男,银卡,App自然注册,34,企业职员,深圳,单身青年,否
B0226,男,银卡,外卖平台导流,47,企业职员,苏州,三口之家,否
B0227,男,普通,社群裂变,39,企业职员,北京,三口之家,否
B0228,女,普通,微信小程序,40,企业职员,青岛,单身青年,否
B0229,女,普通,地推活动,38,企业职员,南京,单身青年,否
B0230,男,银卡,微信小程序,48,自由职业,北京,三口之家,否
B0231,男,普通,外卖平台导流,28,企业职员,成都,三口之家,否
B0232,女,银卡,微信小程序,39,互联网从业,南京,三口之家,否
B0233,女,普通,App自然注册,31,服务业,上海,三口之家,否
B0234,男,普通,App自然注册,39,其他,广州,二人世界,否
B0235,男,银卡,线下扫码,41,其他,北京,多口之家,否
B0236,男,银卡,线下扫码,33,全职主妇,苏州,三口之家,否
B0237,男,普通,线下扫码,36,互联网从业,其他,三口之家,否
B0238,男,普通,微信小程序,33,自由职业,上海,三口之家,否
B0239,男,银卡,App自然注册,31,企业职员,重庆,二人世界,否
B0240,女,普通,微信小程序,42,全职主妇,其他,三口之家,否
B0241,女,普通,App自然注册,36,全职主妇,北京,单身青年,否
B0242,男,普通,外卖平台导流,41,企业职员,成都,三口之家,否
B0243,男,金卡,微信小程序,43,公务员,苏州,二人世界,是
B0244,男,普通,线下扫码,43,全职主妇,上海,三口之家,否
B0245,女,银卡,App自然注册,40,自由职业,成都,二人世界,否
B0246,女,银卡,外卖平台导流,49,自由职业,西安,二人世界,否
B0247,男,金卡,微信小程序,45,企业职员,天津,三口之家,是
B0248,女,银卡,外卖平台导流,34,全职主妇,北京,三口之家,否
B0249,男,黑金,线下扫码,36,学生,北京,三口之家,是
B0250,男,普通,微信小程序,39,学生,上海,三口之家,否
B0251,女,金卡,微信小程序,38,公务员,北京,二人世界,是
B0252,女,金卡,微信小程序,52,互联网从业,成都,三口之家,是
B0253,男,普通,App自然注册,41,服务业,重庆,多口之家,否
B0254,女,黑金,外卖平台导流,38,公务员,上海,三口之家,是
B0255,女,普通,微信小程序,48,互联网从业,北京,多口之家,否
B0256,男,普通,微信小程序,47,自由职业,成都,银发族,否
B0257,女,普通,外卖平台导流,37,企业职员,武汉,三口之家,否
B0258,男,金卡,微信小程序,47,互联网从业,广州,二人世界,是
B0259,女,银卡,社群裂变,43,全职主妇,北京,三口之家,否
B0260,男,普通,微信小程序,33,自由职业,武汉,多口之家,否
B0261,女,金卡,社群裂变,31,企业职员,深圳,二人世界,否
B0262,男,普通,微信小程序,52,企业职员,郑州,单身青年,否
B0263,女,普通,外卖平台导流,34,企业职员,广州,单身青年,否
B0264,女,金卡,线下扫码,41,企业职员,上海,单身青年,是
B0265,男,普通,社群裂变,26,自由职业,西安,三口之家,否
B0266,男,金卡,线下扫码,37,企业职员,广州,单身青年,否
B0267,女,银卡,App自然注册,33,自由职业,青岛,三口之家,否
B0268,女,银卡,App自然注册,43,互联网从业,长沙,三口之家,否
B0269,男,银卡,外卖平台导流,40,自由职业,南京,三口之家,否
B0270,男,金卡,App自然注册,50,服务业,天津,三口之家,是
B0271,女,银卡,社群裂变,38,服务业,广州,多口之家,否
B0272,女,普通,微信小程序,44,学生,深圳,二人世界,否
B0273,男,银卡,微信小程序,29,其他,成都,三口之家,否
B0274,女,普通,App自然注册,35,其他,上海,二人世界,否
B0275,女,普通,App自然注册,27,企业职员,成都,多口之家,否
B0276,男,普通,外卖平台导流,46,企业职员,西安,单身青年,否
B0277,女,金卡,App自然注册,49,服务业,上海,二人世界,是
B0278,男,普通,社群裂变,48,企业职员,武汉,三口之家,否
B0279,女,普通,App自然注册,43,全职主妇,深圳,单身青年,否
B0280,女,普通,线下扫码,42,企业职员,广州,单身青年,否
B0281,女,普通,微信小程序,33,互联网从业,西安,多口之家,否
B0282,女,银卡,社群裂变,35,服务业,其他,银发族,否
B0283,女,黑金,App自然注册,43,学生,其他,银发族,是
B0284,女,普通,微信小程序,42,全职主妇,武汉,单身青年,否
B0285,女,金卡,微信小程序,45,企业职员,其他,二人世界,否
B0286,男,普通,地推活动,43,全职主妇,南京,三口之家,否
B0287,女,黑金,微信小程序,36,企业职员,北京,多口之家,是
B0288,女,银卡,App自然注册,33,企业职员,广州,三口之家,否
B0289,女,普通,外卖平台导流,29,其他,其他,三口之家,否
B0290,女,普通,微信小程序,43,全职主妇,成都,三口之家,否
B0291,男,普通,线下扫码,29,企业职员,成都,银发族,否
B0292,男,普通,线下扫码,38,其他,成都,三口之家,否
B0293,女,普通,线下扫码,25,学生,杭州,银发族,否
B0294,男,金卡,微信小程序,34,互联网从业,其他,三口之家,是
B0295,女,黑金,社群裂变,32,全职主妇,成都,二人世界,是
B0296,女,金卡,App自然注册,25,互联网从业,长沙,银发族,否
B0297,女,银卡,微信小程序,42,企业职员,南京,银发族,否
B0298,男,普通,社群裂变,36,学生,深圳,多口之家,否
B0299,男,金卡,微信小程序,46,服务业,广州,二人世界,是
B0300,女,普通,微信小程序,42,企业职员,青岛,多口之家,否
B0301,女,银卡,线下扫码,34,企业职员,上海,单身青年,否
B0302,女,普通,App自然注册,44,互联网从业,长沙,二人世界,否
B0303,男,普通,线下扫码,26,全职主妇,武汉,多口之家,否
B0304,男,银卡,线下扫码,38,公务员,长沙,三口之家,否
B0305,女,银卡,微信小程序,29,互联网从业,成都,单身青年,否
B0306,女,普通,外卖平台导流,43,学生,郑州,三口之家,否
B0307,男,银卡,App自然注册,39,全职主妇,南京,三口之家,否
B0308,男,普通,社群裂变,40,企业职员,天津,单身青年,否
B0309,男,普通,App自然注册,29,企业职员,成都,三口之家,否
B0310,女,金卡,微信小程序,33,互联网从业,深圳,单身青年,是
B0311,男,普通,地推活动,38,公务员,南京,多口之家,否
B0312,女,黑金,地推活动,38,企业职员,南京,二人世界,是
B0313,女,普通,线下扫码,28,互联网从业,上海,多口之家,否
B0314,女,银卡,App自然注册,34,企业职员,深圳,二人世界,否
B0315,女,普通,微信小程序,42,互联网从业,广州,单身青年,否
B0316,男,银卡,App自然注册,39,互联网从业,上海,多口之家,否
B0317,女,普通,外卖平台导流,36,企业职员,深圳,银发族,否
B0318,男,银卡,App自然注册,41,学生,天津,三口之家,否
B0319,女,普通,App自然注册,37,互联网从业,西安,多口之家,否
B0320,男,黑金,App自然注册,41,全职主妇,西安,三口之家,是
B0321,男,黑金,线下扫码,34,企业职员,上海,多口之家,是
B0322,女,普通,微信小程序,29,全职主妇,武汉,银发族,否
B0323,男,普通,App自然注册,41,企业职员,其他,单身青年,否
B0324,男,金卡,微信小程序,43,自由职业,广州,多口之家,否
B0325,男,银卡,社群裂变,42,互联网从业,武汉,单身青年,否
B0326,男,普通,社群裂变,43,学生,成都,三口之家,否
B0327,女,银卡,App自然注册,31,全职主妇,南京,三口之家,否
B0328,男,金卡,App自然注册,44,互联网从业,北京,二人世界,是
B0329,男,普通,线下扫码,41,企业职员,长沙,二人世界,否
B0330,男,普通,微信小程序,42,企业职员,苏州,三口之家,否
B0331,男,银卡,App自然注册,47,自由职业,其他,多口之家,否
B0332,男,普通,社群裂变,45,互联网从业,深圳,二人世界,否
B0333,男,金卡,微信小程序,45,服务业,郑州,多口之家,是
B0334,男,银卡,线下扫码,39,公务员,郑州,银发族,否
B0335,男,银卡,App自然注册,40,公务员,重庆,二人世界,否
B0336,女,普通,微信小程序,30,全职主妇,南京,多口之家,否
B0337,男,普通,App自然注册,50,自由职业,广州,二人世界,否
B0338,女,普通,微信小程序,38,互联网从业,南京,多口之家,否
B0339,女,银卡,外卖平台导流,41,企业职员,深圳,三口之家,否
B0340,女,银卡,App自然注册,42,企业职员,广州,单身青年,否
B0341,男,普通,App自然注册,33,互联网从业,上海,三口之家,否
B0342,女,普通,App自然注册,39,互联网从业,深圳,多口之家,否
B0343,男,普通,微信小程序,48,其他,广州,单身青年,否
B0344,女,银卡,微信小程序,50,服务业,苏州,二人世界,否
B0345,男,普通,微信小程序,39,互联网从业,北京,三口之家,否
B0346,男,普通,线下扫码,37,其他,武汉,三口之家,否
B0347,男,普通,线下扫码,40,公务员,天津,多口之家,否
B0348,男,金卡,社群裂变,36,学生,长沙,单身青年,是
B0349,女,普通,线下扫码,51,全职主妇,重庆,三口之家,否
B0350,男,普通,线下扫码,49,互联网从业,郑州,二人世界,否
B0351,男,黑金,App自然注册,38,企业职员,成都,单身青年,是
B0352,女,普通,线下扫码,35,企业职员,上海,三口之家,否
B0353,女,普通,微信小程序,46,服务业,重庆,银发族,否
B0354,女,银卡,社群裂变,43,学生,西安,三口之家,否
B0355,女,普通,社群裂变,42,全职主妇,天津,单身青年,否
B0356,男,银卡,微信小程序,35,其他,广州,三口之家,否
B0357,男,银卡,App自然注册,41,企业职员,重庆,二人世界,否
B0358,女,银卡,线下扫码,44,服务业,重庆,单身青年,否
B0359,男,普通,社群裂变,36,互联网从业,其他,三口之家,否
B0360,女,普通,线下扫码,33,学生,苏州,三口之家,否
B0361,男,银卡,App自然注册,32,其他,上海,多口之家,否
B0362,男,普通,社群裂变,38,学生,苏州,二人世界,否
B0363,男,黑金,App自然注册,47,互联网从业,长沙,三口之家,是
B0364,女,金卡,App自然注册,47,企业职员,青岛,二人世界,是
B0365,女,金卡,外卖平台导流,36,服务业,南京,单身青年,是
B0366,女,银卡,App自然注册,39,其他,南京,二人世界,否
B0367,男,银卡,外卖平台导流,33,互联网从业,其他,单身青年,否
B0368,男,普通,外卖平台导流,33,服务业,上海,二人世界,否
B0369,女,普通,线下扫码,37,互联网从业,苏州,三口之家,否
B0370,女,银卡,微信小程序,40,互联网从业,长沙,银发族,否
B0371,男,银卡,线下扫码,37,企业职员,成都,银发族,否
B0372,女,普通,外卖平台导流,35,企业职员,长沙,三口之家,否
B0373,女,金卡,App自然注册,35,企业职员,广州,多口之家,是
B0374,女,银卡,外卖平台导流,33,企业职员,南京,二人世界,否
B0375,男,普通,微信小程序,28,其他,深圳,二人世界,否
B0376,男,银卡,App自然注册,40,互联网从业,西安,三口之家,否
B0377,女,金卡,地推活动,31,全职主妇,上海,三口之家,是
B0378,男,银卡,地推活动,33,公务员,广州,银发族,否
B0379,女,银卡,外卖平台导流,40,全职主妇,深圳,银发族,否
B0380,男,普通,线下扫码,25,公务员,郑州,单身青年,否
B0381,女,金卡,App自然注册,41,互联网从业,北京,单身青年,是
B0382,女,金卡,App自然注册,34,其他,其他,二人世界,是
B0383,男,普通,微信小程序,33,服务业,西安,三口之家,否
B0384,男,普通,线下扫码,34,学生,成都,二人世界,否
B0385,女,银卡,线下扫码,42,自由职业,苏州,多口之家,否
B0386,女,普通,线下扫码,30,其他,苏州,多口之家,否
B0387,男,银卡,线下扫码,38,互联网从业,长沙,二人世界,否
B0388,女,银卡,社群裂变,40,学生,西安,多口之家,否
B0389,男,银卡,App自然注册,49,全职主妇,上海,三口之家,否
B0390,女,银卡,微信小程序,52,企业职员,青岛,银发族,否
B0391,女,银卡,微信小程序,32,企业职员,其他,三口之家,否
B0392,女,银卡,微信小程序,41,企业职员,重庆,多口之家,否
B0393,男,金卡,微信小程序,40,企业职员,广州,三口之家,是
B0394,男,银卡,App自然注册,44,互联网从业,天津,多口之家,否
B0395,男,普通,外卖平台导流,25,全职主妇,长沙,单身青年,否
B0396,女,普通,外卖平台导流,29,互联网从业,西安,单身青年,否
B0397,女,金卡,外卖平台导流,32,互联网从业,上海,三口之家,是
B0398,男,银卡,App自然注册,37,企业职员,西安,三口之家,否
B0399,男,普通,线下扫码,49,其他,青岛,三口之家,否
B0400,男,普通,外卖平台导流,32,公务员,深圳,单身青年,否
B0401,女,普通,线下扫码,34,企业职员,杭州,三口之家,否
B0402,男,普通,线下扫码,33,全职主妇,天津,三口之家,否
B0403,女,银卡,App自然注册,33,全职主妇,重庆,二人世界,否
B0404,女,金卡,线下扫码,32,企业职员,深圳,三口之家,是
B0405,女,普通,外卖平台导流,32,互联网从业,上海,银发族,否
B0406,女,金卡,微信小程序,42,学生,北京,多口之家,否
B0407,男,银卡,微信小程序,28,企业职员,苏州,三口之家,否
B0408,女,金卡,微信小程序,46,企业职员,成都,三口之家,是
B0409,女,普通,微信小程序,28,企业职员,成都,三口之家,否
B0410,男,普通,App自然注册,34,学生,其他,单身青年,否
B0411,女,普通,线下扫码,36,公务员,武汉,三口之家,否
B0412,男,金卡,外卖平台导流,49,全职主妇,苏州,三口之家,否
B0413,男,银卡,微信小程序,38,公务员,武汉,二人世界,否
B0414,男,普通,地推活动,38,全职主妇,上海,多口之家,否
B0415,男,银卡,微信小程序,37,企业职员,武汉,单身青年,否
B0416,女,黑金,线下扫码,40,其他,北京,多口之家,是
B0417,女,普通,微信小程序,39,服务业,杭州,三口之家,否
B0418,女,金卡,App自然注册,39,企业职员,其他,三口之家,是
B0419,女,普通,外卖平台导流,48,企业职员,深圳,银发族,否
B0420,男,金卡,微信小程序,37,公务员,成都,二人世界,是
B0421,女,普通,微信小程序,40,全职主妇,广州,二人世界,否
B0422,女,普通,App自然注册,50,全职主妇,深圳,三口之家,否
B0423,女,黑金,线下扫码,36,企业职员,北京,银发族,是
B0424,男,普通,App自然注册,28,公务员,广州,二人世界,否
B0425,女,银卡,线下扫码,40,全职主妇,其他,二人世界,否
B0426,女,普通,线下扫码,39,企业职员,广州,单身青年,否
B0427,女,银卡,微信小程序,39,自由职业,其他,二人世界,否
B0428,女,金卡,微信小程序,41,企业职员,郑州,二人世界,否
B0429,女,普通,外卖平台导流,37,自由职业,深圳,二人世界,否
B0430,男,普通,社群裂变,25,服务业,长沙,三口之家,否
B0431,男,普通,App自然注册,38,全职主妇,广州,单身青年,否
B0432,男,普通,线下扫码,51,自由职业,青岛,三口之家,否
B0433,女,普通,外卖平台导流,41,互联网从业,成都,单身青年,否
B0434,女,普通,App自然注册,35,服务业,上海,三口之家,否
B0435,男,普通,微信小程序,29,服务业,青岛,三口之家,否
B0436,女,普通,线下扫码,37,学生,西安,单身青年,否
B0437,女,普通,线下扫码,39,其他,广州,多口之家,否
B0438,男,金卡,微信小程序,36,企业职员,天津,三口之家,是
B0439,男,普通,社群裂变,42,全职主妇,长沙,三口之家,否
B0440,男,银卡,线下扫码,39,自由职业,成都,单身青年,否
B0441,男,普通,App自然注册,35,企业职员,南京,银发族,否
B0442,男,普通,地推活动,41,学生,成都,三口之家,否
B0443,女,普通,地推活动,35,自由职业,其他,二人世界,否
B0444,男,普通,微信小程序,42,互联网从业,广州,三口之家,否
B0445,男,普通,App自然注册,40,企业职员,杭州,二人世界,否
B0446,女,金卡,外卖平台导流,36,企业职员,苏州,单身青年,是
B0447,男,普通,微信小程序,51,企业职员,深圳,三口之家,否
B0448,女,普通,线下扫码,36,全职主妇,其他,银发族,否
B0449,男,金卡,App自然注册,45,企业职员,深圳,单身青年,是
B0450,女,银卡,微信小程序,32,全职主妇,重庆,单身青年,否
B0451,男,普通,App自然注册,40,其他,上海,银发族,否
B0452,男,普通,社群裂变,39,公务员,北京,单身青年,否
B0453,女,普通,App自然注册,37,全职主妇,上海,单身青年,否
B0454,男,普通,外卖平台导流,34,学生,武汉,二人世界,否
B0455,女,普通,App自然注册,43,全职主妇,成都,单身青年,否
B0456,男,金卡,微信小程序,39,服务业,北京,三口之家,否
B0457,男,普通,微信小程序,37,服务业,北京,二人世界,否
B0458,女,银卡,微信小程序,39,自由职业,上海,多口之家,否
B0459,男,普通,App自然注册,32,学生,苏州,二人世界,否
B0460,男,金卡,地推活动,37,服务业,天津,多口之家,是
B0461,男,普通,线下扫码,34,互联网从业,郑州,单身青年,否
B0462,女,金卡,线下扫码,33,企业职员,杭州,三口之家,否
B0463,男,金卡,App自然注册,29,其他,天津,三口之家,否
B0464,女,普通,App自然注册,39,互联网从业,武汉,单身青年,否
B0465,女,金卡,App自然注册,31,公务员,成都,二人世界,是
B0466,男,黑金,外卖平台导流,34,服务业,重庆,单身青年,是
B0467,男,金卡,App自然注册,27,其他,北京,三口之家,是
B0468,女,银卡,微信小程序,35,公务员,上海,三口之家,否
B0469,男,普通,微信小程序,52,自由职业,武汉,单身青年,否
B0470,男,银卡,微信小程序,35,企业职员,杭州,二人世界,否
B0471,女,普通,社群裂变,44,其他,南京,三口之家,否
B0472,女,金卡,外卖平台导流,31,企业职员,长沙,二人世界,是
B0473,女,普通,外卖平台导流,47,企业职员,上海,三口之家,否
B0474,女,金卡,微信小程序,38,其他,天津,二人世界,是
B0475,男,银卡,微信小程序,42,自由职业,西安,银发族,否
B0476,女,普通,微信小程序,39,公务员,武汉,二人世界,否
B0477,女,黑金,地推活动,37,互联网从业,杭州,单身青年,是
B0478,男,普通,微信小程序,30,互联网从业,北京,单身青年,否
B0479,女,普通,微信小程序,39,服务业,北京,三口之家,否
B0480,男,普通,App自然注册,33,自由职业,北京,三口之家,否
B0481,男,普通,线下扫码,46,其他,武汉,单身青年,否
B0482,男,普通,线下扫码,42,服务业,杭州,三口之家,否
B0483,女,金卡,微信小程序,40,自由职业,其他,多口之家,是
B0484,男,银卡,微信小程序,42,全职主妇,广州,三口之家,否
B0485,男,普通,微信小程序,37,互联网从业,北京,多口之家,否
B0486,女,银卡,线下扫码,33,全职主妇,其他,单身青年,否
B0487,男,普通,社群裂变,45,服务业,西安,三口之家,否
B0488,女,普通,外卖平台导流,31,服务业,天津,三口之家,否
B0489,女,普通,线下扫码,42,学生,杭州,单身青年,否
B0490,女,普通,线下扫码,44,企业职员,西安,单身青年,否
B0491,男,金卡,App自然注册,40,互联网从业,重庆,三口之家,是
B0492,女,银卡,线下扫码,44,企业职员,广州,三口之家,否
B0493,女,普通,App自然注册,36,企业职员,武汉,三口之家,否
B0494,女,普通,微信小程序,42,互联网从业,青岛,单身青年,否
B0495,女,普通,微信小程序,40,公务员,苏州,单身青年,否
B0496,男,金卡,社群裂变,50,自由职业,武汉,三口之家,是
B0497,男,银卡,微信小程序,36,企业职员,青岛,单身青年,否
B0498,女,普通,线下扫码,37,企业职员,天津,单身青年,否
B0499,女,金卡,微信小程序,43,全职主妇,武汉,三口之家,是
B0500,女,普通,App自然注册,33,全职主妇,其他,三口之家,否
B0501,女,普通,地推活动,43,企业职员,青岛,单身青年,否
B0502,女,普通,微信小程序,27,企业职员,上海,三口之家,否
B0503,男,普通,线下扫码,26,其他,重庆,多口之家,否
B0504,女,银卡,地推活动,42,企业职员,青岛,银发族,否
B0505,女,普通,社群裂变,47,自由职业,苏州,三口之家,否
B0506,女,金卡,线下扫码,31,企业职员,上海,多口之家,是
B0507,女,金卡,社群裂变,38,自由职业,北京,三口之家,是
B0508,女,银卡,微信小程序,30,互联网从业,北京,三口之家,否
B0509,女,金卡,线下扫码,37,服务业,西安,三口之家,否
B0510,男,银卡,微信小程序,37,自由职业,杭州,二人世界,否
B0511,女,普通,外卖平台导流,32,公务员,北京,三口之家,否
B0512,女,普通,线下扫码,41,企业职员,深圳,二人世界,否
B0513,女,银卡,App自然注册,48,公务员,上海,三口之家,否
B0514,女,普通,微信小程序,43,企业职员,上海,二人世界,否
B0515,女,普通,社群裂变,49,其他,上海,银发族,否
B0516,男,普通,微信小程序,36,企业职员,南京,三口之家,否
B0517,女,黑金,线下扫码,43,互联网从业,上海,三口之家,是
B0518,女,银卡,App自然注册,42,企业职员,其他,多口之家,否
B0519,女,金卡,微信小程序,39,自由职业,天津,三口之家,否
B0520,女,金卡,微信小程序,35,服务业,青岛,单身青年,是
B0521,女,普通,App自然注册,34,自由职业,武汉,多口之家,否
B0522,女,普通,线下扫码,45,其他,西安,单身青年,否
B0523,女,银卡,社群裂变,45,服务业,上海,多口之家,否
B0524,男,银卡,微信小程序,38,全职主妇,重庆,多口之家,否
B0525,男,金卡,社群裂变,49,企业职员,杭州,三口之家,否
B0526,女,金卡,社群裂变,44,自由职业,北京,单身青年,是
B0527,女,银卡,社群裂变,28,企业职员,杭州,三口之家,否
B0528,女,金卡,App自然注册,35,企业职员,武汉,三口之家,否
B0529,女,银卡,地推活动,25,自由职业,南京,三口之家,否
B0530,女,普通,微信小程序,42,互联网从业,西安,多口之家,否
B0531,男,银卡,线下扫码,36,全职主妇,广州,二人世界,否
B0532,女,普通,外卖平台导流,41,企业职员,上海,三口之家,否
B0533,女,银卡,App自然注册,38,企业职员,成都,二人世界,否
B0534,女,普通,微信小程序,49,企业职员,西安,三口之家,否
B0535,女,普通,App自然注册,29,全职主妇,深圳,三口之家,否
B0536,男,银卡,微信小程序,38,自由职业,武汉,二人世界,否
B0537,男,普通,微信小程序,39,自由职业,北京,二人世界,否
B0538,男,银卡,微信小程序,45,互联网从业,成都,三口之家,否
B0539,女,普通,微信小程序,36,企业职员,上海,二人世界,否
B0540,男,金卡,外卖平台导流,36,企业职员,苏州,多口之家,是
B0541,男,银卡,外卖平台导流,35,全职主妇,天津,三口之家,否
B0542,男,普通,微信小程序,27,公务员,西安,单身青年,否
B0543,女,普通,线下扫码,40,全职主妇,上海,银发族,否
B0544,男,银卡,微信小程序,50,其他,北京,三口之家,否
B0545,男,银卡,微信小程序,52,全职主妇,青岛,二人世界,否
B0546,男,银卡,微信小程序,48,其他,武汉,三口之家,否
B0547,女,普通,App自然注册,30,服务业,其他,银发族,否
B0548,男,金卡,微信小程序,42,企业职员,上海,单身青年,是
B0549,女,黑金,App自然注册,25,企业职员,成都,银发族,是
B0550,男,银卡,App自然注册,52,互联网从业,广州,多口之家,否
B0551,男,普通,微信小程序,31,服务业,成都,单身青年,否
B0552,女,普通,App自然注册,44,服务业,南京,三口之家,否
B0553,女,普通,微信小程序,30,其他,上海,单身青年,否
B0554,女,金卡,App自然注册,38,自由职业,苏州,二人世界,是
B0555,女,金卡,线下扫码,43,企业职员,上海,二人世界,是
B0556,女,黑金,线下扫码,37,全职主妇,深圳,二人世界,是
B0557,女,普通,外卖平台导流,44,企业职员,其他,单身青年,否
B0558,女,普通,App自然注册,32,服务业,深圳,单身青年,否
B0559,女,银卡,地推活动,38,企业职员,杭州,二人世界,否
B0560,女,普通,社群裂变,39,全职主妇,广州,二人世界,否
B0561,女,普通,线下扫码,45,企业职员,深圳,三口之家,否
B0562,男,普通,微信小程序,33,全职主妇,北京,单身青年,否
B0563,男,普通,App自然注册,44,互联网从业,西安,单身青年,否
B0564,女,普通,App自然注册,41,学生,广州,单身青年,否
B0565,女,普通,App自然注册,50,公务员,上海,三口之家,否
B0566,男,金卡,社群裂变,30,互联网从业,苏州,多口之家,是
B0567,男,普通,线下扫码,48,自由职业,长沙,单身青年,否
B0568,女,银卡,微信小程序,41,互联网从业,上海,二人世界,否
B0569,男,普通,App自然注册,46,企业职员,长沙,三口之家,否
B0570,男,金卡,地推活动,40,互联网从业,天津,二人世界,是
B0571,男,普通,线下扫码,36,企业职员,青岛,三口之家,否
B0572,男,银卡,App自然注册,39,企业职员,深圳,三口之家,否
B0573,女,普通,微信小程序,36,互联网从业,杭州,二人世界,否
B0574,女,普通,App自然注册,38,自由职业,上海,三口之家,否
B0575,女,普通,App自然注册,47,全职主妇,杭州,单身青年,否
B0576,男,金卡,线下扫码,25,学生,广州,二人世界,是
B0577,男,银卡,社群裂变,41,企业职员,北京,三口之家,否
B0578,女,普通,地推活动,52,企业职员,郑州,二人世界,否
B0579,男,普通,微信小程序,29,企业职员,北京,二人世界,否
B0580,女,普通,微信小程序,37,企业职员,北京,二人世界,否
B0581,男,普通,微信小程序,27,企业职员,上海,二人世界,否
B0582,女,普通,外卖平台导流,42,其他,上海,三口之家,否
B0583,男,金卡,外卖平台导流,37,全职主妇,武汉,银发族,是
B0584,男,银卡,微信小程序,50,服务业,南京,单身青年,否
B0585,女,银卡,外卖平台导流,36,企业职员,苏州,二人世界,否
B0586,女,普通,微信小程序,34,服务业,上海,银发族,否
B0587,男,银卡,App自然注册,37,互联网从业,西安,单身青年,否
B0588,男,普通,地推活动,33,学生,西安,三口之家,否
B0589,男,金卡,线下扫码,46,服务业,深圳,单身青年,是
B0590,男,普通,地推活动,41,企业职员,上海,多口之家,否
B0591,女,银卡,微信小程序,33,互联网从业,杭州,三口之家,否
B0592,女,普通,外卖平台导流,48,企业职员,深圳,二人世界,否
B0593,女,银卡,线下扫码,28,企业职员,重庆,单身青年,否
B0594,女,普通,App自然注册,48,服务业,西安,三口之家,否
B0595,女,银卡,线下扫码,47,服务业,上海,银发族,否
B0596,男,银卡,App自然注册,31,其他,郑州,单身青年,否
B0597,男,银卡,微信小程序,41,企业职员,长沙,三口之家,否
B0598,男,普通,线下扫码,44,企业职员,广州,三口之家,否
B0599,女,普通,线下扫码,51,互联网从业,天津,单身青年,否
B0600,男,银卡,社群裂变,35,其他,武汉,三口之家,否
B0601,女,普通,线下扫码,50,服务业,长沙,三口之家,否
B0602,男,金卡,微信小程序,38,互联网从业,郑州,二人世界,是
B0603,女,普通,App自然注册,29,服务业,武汉,多口之家,否
