订单ID,关联事件ID,会员ID,商品ID,门店ID,订单日期,订单金额_元,商品成本_元,毛利_元,促销ID,订单渠道,购买数量,配送时长_分钟,履约时长_分钟
O002203,E0027642,C4250,S016,35,2023-02-15,24.54,14.69,9.85,P01,小程序到家,2,36,34
O002204,E0027646,C5419,S016,32,2023-02-15,12.86,7.34,5.52,P01,App到家,1,14,11
O002205,E0027659,C8510,S065,34,2023-02-15,15.34,8.24,7.1,P01,小程序到家,1,23,17
O002206,E0027673,B1203,S034,22,2023-02-15,18.58,11.45,7.13,P04,小程序到家,1,16,17
O002207,E0027675,C2349,S082,30,2023-02-15,16.7,7.91,8.79,P01,门店自提,1,21,19
O002208,E0027681,B3866,S049,40,2023-02-15,22.34,11.97,10.37,P01,小程序到家,1,17,10
O002209,E0027682,B1987,S074,18,2023-02-15,18.49,10.36,8.13,P06,门店堂食,1,28,17
O002210,E0027692,C6610,S085,24,2023-02-15,12.82,6.7,6.12,P01,门店自提,1,26,18
O002211,E0027700,C6347,S048,34,2023-02-15,54.72,26.88,27.84,P01,小程序到家,3,48,46
O002212,E0027715,C0518,S027,33,2023-02-15,44.02,44.85,-0.83,P06,小程序到家,2,26,21
O002213,E0027723,B3653,S057,13,2023-02-15,24.17,14.04,10.13,P03,App到家,1,32,19
O002214,E0027729,B1811,S062,2,2023-02-15,32.63,18.54,14.09,P01,门店自提,1,25,14
O002215,E0027732,C6289,S092,13,2023-02-15,9.9,2.33,7.57,P04,第三方外卖,1,59,41
O002216,E0027765,C0238,S034,37,2023-02-15,56.67,34.34,22.33,P01,门店自提,3,13,13
O002217,E0027788,B2092,S009,30,2023-02-16,9.9,4.29,5.61,P01,门店自提,1,19,13
O002218,E0027798,C3072,S032,8,2023-02-16,32.62,20.52,12.1,P02,门店堂食,2,33,28
O002219,E0027808,B3233,S063,38,2023-02-16,92.45,57.68,34.77,P02,App到家,2,44,43
O002220,E0027844,B3428,S062,29,2023-02-16,32.12,18.54,13.58,P01,小程序到家,1,18,12
O002221,E0027858,B1977,S066,4,2023-02-16,9.9,2.78,7.12,P01,App到家,1,14,10
O002222,E0027859,C6306,S094,37,2023-02-16,30.8,23.54,7.26,P07,门店自提,2,25,19
O002223,E0027890,C2842,S011,34,2023-02-16,15.31,9.44,5.87,P01,App到家,1,24,17
O002224,E0027898,A465,S009,2,2023-02-16,9.9,4.29,5.61,P02,门店堂食,1,30,25
O002225,E0027908,B2297,S044,6,2023-02-16,27.63,17.99,9.64,P02,门店自提,1,36,22
O002226,E0027911,C1958,S065,16,2023-02-16,15.28,8.24,7.04,P02,App到家,1,30,27
O002227,E0027917,C8502,S072,33,2023-02-16,45.0,35.59,9.41,P07,App到家,3,26,20
O002228,E0027956,B3107,S077,40,2023-02-16,19.8,11.77,8.03,P03,App到家,1,27,25
O002229,E0027968,C4429,S068,37,2023-02-16,12.53,7.15,5.38,P01,第三方外卖,1,21,15
O002230,E0027972,B2809,S013,16,2023-02-16,37.08,25.2,11.88,P05,小程序到家,2,15,14
O002231,E0027995,B2209,S010,30,2023-02-16,9.9,5.67,4.23,P01,第三方外卖,1,26,14
O002232,E0028021,A585,S003,35,2023-02-16,19.74,10.75,8.99,P01,小程序到家,2,19,13
O002233,E0028046,C7520,S029,25,2023-02-16,38.61,27.84,10.77,P01,门店自提,1,25,16
O002234,E0028056,B1617,S012,36,2023-02-16,87.67,61.36,26.31,P02,App到家,1,41,27
O002235,E0028058,C7759,S043,23,2023-02-16,39.38,24.2,15.18,P01,门店自提,1,25,19
O002236,E0028070,B2355,S099,3,2023-02-16,12.72,6.24,6.48,P02,App到家,1,42,35
O002237,E0028081,C1292,S090,37,2023-02-16,26.06,15.81,10.25,P03,门店堂食,1,25,15
O002238,E0028100,B3845,S035,2,2023-02-16,15.18,9.5,5.68,P01,小程序到家,1,18,10
O002239,E0028106,A088,S041,38,2023-02-16,23.1,14.14,8.96,P02,App到家,2,29,24
O002240,E0028108,C1178,S007,28,2023-02-16,9.9,2.53,7.37,P03,门店自提,1,29,28
O002241,E0028115,A256,S082,38,2023-02-16,31.12,15.82,15.3,P01,门店堂食,2,23,12
O002242,E0028116,C8416,S043,20,2023-02-16,39.51,24.2,15.31,P05,App到家,1,30,26
O002243,E0028128,C0191,S034,21,2023-02-16,18.32,11.45,6.87,P01,小程序到家,1,21,18
O002244,E0028130,B2530,S002,9,2023-02-16,9.9,3.3,6.6,P03,小程序到家,1,30,24
O002245,E0028138,C3717,S003,22,2023-02-16,9.9,5.38,4.52,P01,第三方外卖,1,26,16
O002246,E0028160,C5269,S085,6,2023-02-16,25.6,13.39,12.21,P01,App到家,2,19,21
O002247,E0028210,A080,S056,13,2023-02-16,28.97,16.8,12.17,P01,门店堂食,1,28,17
O002248,E0028251,C6669,S025,37,2023-02-16,38.14,24.15,13.99,P01,小程序到家,2,29,15
O002249,E0028253,C1643,S075,9,2023-02-16,35.4,22.55,12.85,P03,小程序到家,1,23,15
O002250,E0028258,C0414,S008,15,2023-02-16,9.9,3.99,5.91,P01,门店堂食,1,17,14
O002251,E0028265,B0964,S039,5,2023-02-16,12.64,6.76,5.88,P01,小程序到家,1,12,10
O002252,E0028266,B2188,S075,32,2023-02-16,34.26,22.55,11.71,P08,App到家,1,15,12
O002253,E0028272,C7822,S095,24,2023-02-16,28.65,18.4,10.25,P03,小程序到家,1,13,12
O002254,E0028276,C7876,S079,35,2023-02-16,9.9,3.58,6.32,P01,App到家,1,28,24
O002255,E0028288,C7783,S002,30,2023-02-16,9.9,3.3,6.6,P06,小程序到家,1,37,18
O002256,E0028293,C8789,S088,21,2023-02-16,16.31,9.63,6.68,P01,App到家,1,27,15
O002257,E0028295,A030,S071,1,2023-02-16,24.84,17.49,7.35,P03,小程序到家,1,54,36
O002258,E0028330,C5149,S098,16,2023-02-16,39.12,20.6,18.52,P03,App到家,2,42,38
O002259,E0028340,A581,S078,39,2023-02-16,18.45,9.79,8.66,P03,小程序到家,1,21,12
O002260,E0028355,B0384,S099,27,2023-02-16,12.48,6.24,6.24,P02,第三方外卖,1,21,20
O002261,E0028362,B4088,S064,5,2023-02-17,18.89,9.88,9.01,P05,第三方外卖,1,44,27
O002262,E0028372,C8058,S091,5,2023-02-17,9.9,3.52,6.38,P08,小程序到家,1,62,40
O002263,E0028390,C5982,S063,38,2023-02-17,46.91,28.84,18.07,P01,门店自提,1,26,23
O002264,E0028414,A406,S044,10,2023-02-17,29.65,17.99,11.66,P01,小程序到家,1,30,30
O002265,E0028417,C9701,S023,26,2023-02-17,22.67,14.45,8.22,P02,小程序到家,1,23,25
O002266,E0028422,C0929,S048,24,2023-02-17,17.46,8.96,8.5,P01,小程序到家,1,16,16
O002267,E0028430,B3046,S064,14,2023-02-17,16.59,9.88,6.71,P02,门店堂食,1,21,11
O002268,E0028450,B3982,S048,27,2023-02-17,17.98,8.96,9.02,P06,小程序到家,1,25,18
O002269,E0028461,C1761,S069,34,2023-02-17,29.58,17.4,12.18,P04,App到家,1,25,21
O002270,E0028465,A388,S036,4,2023-02-17,28.53,18.38,10.15,P06,小程序到家,1,39,21
O002271,E0028471,B3132,S009,36,2023-02-17,24.93,12.88,12.05,P01,小程序到家,3,19,10
O002272,E0028472,B2871,S074,17,2023-02-17,18.12,10.36,7.76,P01,小程序到家,1,14,15
O002273,E0028498,B1238,S072,37,2023-02-17,37.68,23.73,13.95,P04,小程序到家,2,12,13
O002274,E0028501,B2712,S065,1,2023-02-17,15.54,8.24,7.3,P02,App到家,1,42,33
O002275,E0028502,B1099,S015,29,2023-02-17,66.19,46.36,19.83,P01,门店自提,1,24,13
O002276,E0028512,C3054,S073,17,2023-02-17,31.1,19.01,12.09,P04,小程序到家,2,18,17
O002277,E0028530,C5389,S062,8,2023-02-17,98.49,55.62,42.87,P02,第三方外卖,3,73,66
O002278,E0028542,B1838,S038,29,2023-02-17,62.99,49.44,13.55,P02,App到家,1,30,15
O002279,E0028547,B0189,S094,23,2023-02-17,19.86,11.77,8.09,P01,小程序到家,1,55,37
O002280,E0028552,B3357,S048,25,2023-02-17,18.77,8.96,9.81,P02,门店自提,1,15,11
O002281,E0028556,B0472,S096,29,2023-02-17,11.44,7.7,3.74,P07,小程序到家,1,21,12
O002282,E0028574,B2084,S009,14,2023-02-17,16.68,8.59,8.09,P06,App到家,2,22,22
O002283,E0028575,C4017,S093,5,2023-02-17,30.32,17.28,13.04,P01,第三方外卖,2,12,16
O002284,E0028586,B1701,S014,33,2023-02-17,16.64,10.38,6.26,P03,App到家,1,28,23
O002285,E0028589,C8112,S024,23,2023-02-17,18.5,11.66,6.84,P01,App到家,1,17,18
O002286,E0028591,C1313,S090,36,2023-02-17,25.97,15.81,10.16,P01,小程序到家,1,30,24
O002287,E0028642,C8672,S072,38,2023-02-17,18.07,11.86,6.21,P01,App到家,1,35,24
O002288,E0028649,B0576,S051,24,2023-02-17,15.15,8.35,6.8,P06,App到家,1,16,19
O002289,E0028655,B0630,S016,24,2023-02-17,11.92,7.34,4.58,P04,小程序到家,1,22,24
O002290,E0028672,C5100,S055,8,2023-02-17,27.91,16.59,11.32,P03,小程序到家,1,27,30
O002291,E0028676,B1914,S084,4,2023-02-17,35.54,20.8,14.74,P06,App到家,1,51,42
O002292,E0028687,C4817,S083,6,2023-02-17,9.9,5.2,4.7,P07,小程序到家,1,35,25
O002293,E0028688,B0620,S012,16,2023-02-17,88.17,61.36,26.81,P03,App到家,1,29,21
O002294,E0028702,B2538,S004,15,2023-02-17,9.9,2.65,7.25,P01,第三方外卖,1,14,10
O002295,E0028705,C8104,S003,18,2023-02-17,9.9,5.38,4.52,P03,门店自提,1,28,18
O002296,E0028737,B1874,S022,39,2023-02-17,45.3,30.24,15.06,P03,小程序到家,1,24,23
O002297,E0028741,C8107,S009,16,2023-02-17,9.9,4.29,5.61,P01,小程序到家,1,55,46
O002298,E0028743,C1574,S034,8,2023-02-17,18.7,11.45,7.25,P01,门店自提,1,15,16
O002299,E0028745,C0514,S025,21,2023-02-17,19.01,12.08,6.93,P03,App到家,1,19,19
O002300,E0028752,C6934,S071,39,2023-02-17,25.69,17.49,8.2,P01,App到家,1,12,11
O002301,E0028759,C2114,S090,6,2023-02-17,77.61,47.42,30.19,P01,小程序到家,3,42,23
O002302,E0028775,C6595,S050,2,2023-02-17,19.45,11.34,8.11,P03,门店堂食,1,30,25
O002303,E0028781,C9195,S049,38,2023-02-17,22.8,11.97,10.83,P01,小程序到家,1,28,19
O002304,E0028784,A530,S021,37,2023-02-17,62.6,43.46,19.14,P01,第三方外卖,2,16,15
O002305,E0028806,C8583,S042,10,2023-02-17,15.6,8.93,6.67,P01,小程序到家,1,22,22
O002306,E0028810,C2260,S037,16,2023-02-17,27.48,29.12,-1.64,P06,小程序到家,1,23,15
O002307,E0028831,C6418,S089,8,2023-02-17,41.86,26.16,15.7,P01,App到家,2,26,17
O002308,E0028841,C0098,S005,36,2023-02-17,9.9,1.89,8.01,P01,第三方外卖,1,20,19
O002309,E0028879,C6276,S037,8,2023-02-17,47.72,29.12,18.6,P05,门店自提,1,24,20
O002310,E0028885,C6817,S083,19,2023-02-17,9.9,5.2,4.7,P02,第三方外卖,1,54,51
O002311,E0028891,B3459,S044,2,2023-02-17,28.95,17.99,10.96,P01,小程序到家,1,67,40
O002312,E0028893,C0448,S087,9,2023-02-17,23.7,15.6,8.1,P04,门店自提,1,22,12
O002313,E0028894,B2992,S088,17,2023-02-17,16.07,9.63,6.44,P04,门店自提,1,16,16
O002314,E0028902,C1590,S090,22,2023-02-17,51.7,31.61,20.09,P01,小程序到家,2,26,15
O002315,E0028974,C5161,S099,24,2023-02-18,25.42,12.48,12.94,P01,小程序到家,2,20,10
O002316,E0028976,B0602,S062,2,2023-02-18,30.5,18.54,11.96,P01,第三方外卖,1,16,10
O002317,E0028994,C8498,S062,31,2023-02-18,65.34,37.08,28.26,P01,App到家,2,18,13
O002318,E0029005,C1677,S074,1,2023-02-18,18.69,10.36,8.33,P01,App到家,1,34,20
O002319,E0029012,B3954,S095,25,2023-02-18,27.5,18.4,9.1,P01,App到家,1,27,23
O002320,E0029021,C0329,S076,16,2023-02-18,32.2,18.36,13.84,P05,门店自提,2,50,45
O002321,E0029024,B1429,S071,31,2023-02-18,20.45,17.49,2.96,P07,小程序到家,1,25,16
O002322,E0029037,C4204,S011,34,2023-02-18,15.34,9.44,5.9,P01,App到家,1,30,18
O002323,E0029039,B3297,S009,8,2023-02-18,9.9,4.29,5.61,P07,门店堂食,1,13,10
O002324,E0029045,C8897,S099,23,2023-02-18,12.7,6.24,6.46,P04,小程序到家,1,20,10
O002325,E0029052,A274,S040,8,2023-02-18,18.19,10.3,7.89,P01,门店自提,1,20,22
O002326,E0029060,C4012,S046,3,2023-02-18,32.5,19.44,13.06,P05,门店堂食,1,34,23
O002327,E0029062,A420,S058,6,2023-02-18,19.67,11.88,7.79,P03,门店自提,1,22,20
O002328,E0029070,B1978,S072,1,2023-02-18,16.9,11.86,5.04,P02,小程序到家,1,16,14
O002329,E0029076,C8968,S092,12,2023-02-18,9.9,2.33,7.57,P02,小程序到家,1,23,23
O002330,E0029084,C1201,S050,19,2023-02-18,19.86,11.34,8.52,P01,App到家,1,25,17
O002331,E0029096,A431,S087,30,2023-02-18,24.37,15.6,8.77,P01,小程序到家,1,13,10
O002332,E0029097,C3885,S074,1,2023-02-18,18.39,10.36,8.03,P04,第三方外卖,1,20,18
O002333,E0029118,C4699,S040,33,2023-02-18,37.42,20.6,16.82,P01,门店自提,2,28,18
O002334,E0029121,B0448,S083,10,2023-02-18,9.9,5.2,4.7,P05,小程序到家,1,25,20
O002335,E0029153,C3602,S010,27,2023-02-18,9.9,5.67,4.23,P01,小程序到家,1,20,22
O002336,E0029157,B3017,S074,15,2023-02-18,18.18,10.36,7.82,P04,App到家,1,27,23
O002337,E0029188,C1014,S010,6,2023-02-18,9.9,5.67,4.23,P08,第三方外卖,1,37,20
O002338,E0029193,B3709,S066,29,2023-02-18,9.9,2.78,7.12,P05,小程序到家,1,28,22
O002339,E0029225,B3243,S047,6,2023-02-18,12.87,5.89,6.98,P01,小程序到家,1,26,26
O002340,E0029229,B1508,S051,11,2023-02-18,31.28,16.69,14.59,P05,第三方外卖,2,30,29
O002341,E0029273,B2768,S025,37,2023-02-18,39.42,24.15,15.27,P05,App到家,2,29,22
O002342,E0029278,C2463,S073,21,2023-02-18,14.05,9.5,4.55,P02,App到家,1,15,12
O002343,E0029280,C1508,S022,3,2023-02-18,44.79,30.24,14.55,P03,第三方外卖,1,34,21
O002344,E0029290,C7331,S007,23,2023-02-18,9.9,2.53,7.37,P05,门店自提,1,13,11
O002345,E0029292,C7586,S049,25,2023-02-18,21.76,11.97,9.79,P01,小程序到家,1,15,13
O002346,E0029305,B3743,S013,6,2023-02-18,56.43,37.8,18.63,P03,App到家,3,13,10
O002347,E0029327,C2658,S004,10,2023-02-18,9.9,2.65,7.25,P03,门店自提,1,57,47
O002348,E0029335,B3606,S020,24,2023-02-18,34.2,23.54,10.66,P01,App到家,1,52,49
O002349,E0029342,C0813,S094,8,2023-02-18,19.42,11.77,7.65,P01,小程序到家,1,23,22
O002350,E0029360,C4514,S028,11,2023-02-18,56.54,37.63,18.91,P01,门店堂食,2,16,10
O002351,E0029366,C2561,S082,31,2023-02-18,16.5,7.91,8.59,P08,小程序到家,1,23,24
O002352,E0029375,C7111,S072,10,2023-02-18,37.56,23.73,13.83,P02,App到家,2,39,23
O002353,E0029377,C9795,S022,40,2023-02-18,25.41,30.24,-4.83,P06,门店堂食,1,20,14
O002354,E0029385,C2881,S059,23,2023-02-18,32.3,18.72,13.58,P01,门店堂食,1,16,14
O002355,E0029400,C0934,S006,13,2023-02-18,20.29,13.91,6.38,P07,App到家,2,21,14
O002356,E0029423,C1992,S009,27,2023-02-18,9.9,8.59,1.31,P06,第三方外卖,2,66,41
O002357,E0029425,A124,S052,33,2023-02-18,18.16,10.36,7.8,P04,小程序到家,1,25,26
O002358,E0029431,C4882,S015,36,2023-02-18,67.91,46.36,21.55,P01,App到家,1,29,24
O002359,E0029454,C7898,S001,15,2023-02-18,9.9,4.54,5.36,P07,门店自提,1,46,41
O002360,E0029469,C8195,S080,30,2023-02-18,22.62,13.88,8.74,P02,小程序到家,1,27,24
O002361,E0029478,C0567,S023,29,2023-02-18,43.72,28.89,14.83,P01,门店堂食,2,30,27
O002362,E0029489,C7730,S032,32,2023-02-18,16.37,10.26,6.11,P01,第三方外卖,1,20,13
O002363,E0029490,C4125,S032,37,2023-02-18,33.18,20.52,12.66,P01,小程序到家,2,18,17
O002364,E0029503,B1471,S036,12,2023-02-18,29.47,18.38,11.09,P06,App到家,1,42,35
O002365,E0029514,C1172,S016,1,2023-02-18,19.1,14.69,4.41,P07,App到家,2,72,50
O002366,E0029533,B3549,S053,7,2023-02-18,45.69,30.24,15.45,P01,门店堂食,1,25,22
O002367,E0029545,B1114,S025,13,2023-02-18,19.07,12.08,6.99,P01,App到家,1,30,19
O002368,E0029551,A053,S030,12,2023-02-18,43.95,32.49,11.46,P05,小程序到家,1,14,11
O002369,E0029559,B0323,S068,3,2023-02-18,24.94,14.3,10.64,P06,小程序到家,2,16,10
O002370,E0029571,C2648,S024,16,2023-02-18,30.21,23.33,6.88,P07,App到家,2,12,12
O002371,E0029576,C0500,S025,1,2023-02-18,18.71,12.08,6.63,P01,小程序到家,1,15,16
O002372,E0029590,C6788,S074,19,2023-02-18,18.3,10.36,7.94,P01,App到家,1,18,19
O002373,E0029610,C5473,S003,16,2023-02-18,19.7,10.75,8.95,P01,门店自提,2,25,12
O002374,E0029613,A447,S066,5,2023-02-18,11.5,5.55,5.95,P01,第三方外卖,2,24,19
O002375,E0029646,C2966,S094,1,2023-02-18,18.48,11.77,6.71,P03,门店自提,1,19,16
O002376,E0029668,A017,S018,1,2023-02-19,18.37,10.3,8.07,P01,门店自提,1,18,16
O002377,E0029683,C0912,S058,29,2023-02-19,19.24,11.88,7.36,P01,App到家,1,44,33
O002378,E0029689,C1361,S093,14,2023-02-19,30.4,17.28,13.12,P01,小程序到家,2,27,14
O002379,E0029691,C2361,S079,39,2023-02-19,9.9,3.58,6.32,P03,门店堂食,1,27,23
O002380,E0029701,C2309,S013,33,2023-02-19,38.66,25.2,13.46,P01,小程序到家,2,29,24
O002381,E0029707,C9168,S008,28,2023-02-19,9.9,3.99,5.91,P02,第三方外卖,1,44,30
O002382,E0029712,B0118,S086,36,2023-02-19,23.33,18.24,5.09,P07,门店自提,1,22,13
O002383,E0029725,C4053,S067,36,2023-02-19,9.9,2.1,7.8,P02,小程序到家,1,22,15
O002384,E0029745,C9395,S023,34,2023-02-19,21.97,14.45,7.52,P01,App到家,1,16,16
O002385,E0029764,B1771,S033,10,2023-02-19,21.32,13.91,7.41,P01,小程序到家,1,28,23
O002386,E0029768,B1443,S079,7,2023-02-19,9.9,3.58,6.32,P02,小程序到家,1,49,41
O002387,E0029769,C6793,S026,38,2023-02-19,24.16,14.84,9.32,P01,门店堂食,1,46,34
O002388,E0029779,B3715,S047,32,2023-02-19,36.93,17.66,19.27,P02,第三方外卖,3,29,18
O002389,E0029819,A246,S078,3,2023-02-19,54.39,29.36,25.03,P05,小程序到家,3,69,42
O002390,E0029842,A305,S031,16,2023-02-19,55.43,38.5,16.93,P03,App到家,1,17,13
O002391,E0029845,C5070,S036,17,2023-02-19,58.96,36.75,22.21,P01,小程序到家,2,17,16
O002392,E0029846,B0039,S038,15,2023-02-19,66.75,49.44,17.31,P01,门店堂食,1,13,17
O002393,E0029847,C9052,S100,20,2023-02-19,31.27,20.17,11.1,P05,小程序到家,1,26,12
O002394,E0029857,B1585,S045,31,2023-02-19,35.83,22.0,13.83,P05,门店自提,1,22,13
O002395,E0029878,C5729,S085,15,2023-02-19,12.37,6.7,5.67,P01,门店自提,1,18,12
O002396,E0029935,B1377,S068,1,2023-02-19,12.69,7.15,5.54,P03,门店自提,1,46,35
O002397,E0029938,B3306,S066,25,2023-02-19,9.9,2.78,7.12,P02,小程序到家,1,30,24
O002398,E0029945,C0942,S037,21,2023-02-19,96.04,58.24,37.8,P02,App到家,2,15,18
O002399,E0029961,C2782,S024,4,2023-02-19,37.02,23.33,13.69,P03,小程序到家,2,23,16
O002400,E0029993,B4065,S002,20,2023-02-19,12.54,6.6,5.94,P03,小程序到家,2,14,15
O002401,E0030021,B1112,S078,28,2023-02-19,36.28,19.57,16.71,P01,第三方外卖,2,25,12
O002402,E0030022,C2534,S054,7,2023-02-19,81.9,56.16,25.74,P05,门店自提,2,12,12
O002403,E0030046,C1528,S007,11,2023-02-19,9.9,5.06,4.84,P06,App到家,2,41,25
O002404,E0030059,B3684,S003,1,2023-02-19,9.9,5.38,4.52,P02,App到家,1,45,29
O002405,E0030097,C5992,S013,7,2023-02-19,58.08,37.8,20.28,P03,第三方外卖,3,40,32
O002406,E0030099,C1332,S083,34,2023-02-19,9.9,5.2,4.7,P01,小程序到家,1,29,26
O002407,E0030111,C5254,S069,40,2023-02-19,37.18,34.8,2.38,P06,小程序到家,2,20,18
O002408,E0030123,C4239,S073,24,2023-02-19,15.65,9.5,6.15,P01,门店堂食,1,26,18
O002409,E0030148,A421,S013,23,2023-02-19,19.8,12.6,7.2,P04,门店自提,1,15,17
O002410,E0030153,B2947,S023,20,2023-02-19,22.41,14.45,7.96,P02,第三方外卖,1,46,42
O002411,E0030158,B4028,S059,13,2023-02-19,62.98,37.44,25.54,P02,小程序到家,2,23,19
O002412,E0030166,B3980,S040,21,2023-02-19,18.86,10.3,8.56,P05,小程序到家,1,48,32
O002413,E0030173,B2900,S055,29,2023-02-19,28.34,16.59,11.75,P01,App到家,1,14,10
O002414,E0030180,C9228,S069,20,2023-02-19,29.01,17.4,11.61,P01,门店堂食,1,27,22
O002415,E0030182,C0525,S091,19,2023-02-19,9.9,7.04,2.86,P06,小程序到家,2,12,14
O002416,E0030184,B3627,S032,38,2023-02-19,16.26,10.26,6.0,P01,小程序到家,1,18,17
O002417,E0030190,A326,S048,30,2023-02-19,44.76,26.88,17.88,P07,App到家,3,30,20
O002418,E0030201,C8539,S081,40,2023-02-19,14.37,7.8,6.57,P01,小程序到家,1,23,13
O002419,E0030203,B0254,S061,37,2023-02-19,83.1,50.98,32.12,P04,App到家,3,19,19
O002420,E0030213,B1730,S011,39,2023-02-19,15.55,9.44,6.11,P03,小程序到家,1,66,43
O002421,E0030253,C0973,S035,23,2023-02-19,15.86,9.5,6.36,P02,App到家,1,28,26
O002422,E0030274,C3897,S085,35,2023-02-19,25.18,13.39,11.79,P03,App到家,2,14,18
O002423,E0030277,C2647,S041,5,2023-02-19,12.54,7.07,5.47,P04,App到家,1,50,34
O002424,E0030283,A287,S008,25,2023-02-19,9.9,3.99,5.91,P02,小程序到家,1,19,18
O002425,E0030284,A091,S046,1,2023-02-19,62.72,38.88,23.84,P04,小程序到家,2,67,56
O002426,E0030297,B0914,S058,24,2023-02-19,19.89,11.88,8.01,P05,第三方外卖,1,41,32
O002427,E0030301,A368,S011,9,2023-02-19,15.32,9.44,5.88,P06,小程序到家,1,26,18
O002428,E0030306,B1262,S047,37,2023-02-19,12.44,5.89,6.55,P01,App到家,1,27,27
O002429,E0030320,C1368,S024,16,2023-02-19,18.27,11.66,6.61,P04,门店堂食,1,24,12
O002430,E0030338,C2088,S098,31,2023-02-19,19.7,10.3,9.4,P01,第三方外卖,1,74,52
O002431,E0030355,B4100,S099,23,2023-02-19,11.52,6.24,5.28,P02,小程序到家,1,46,40
O002432,E0030358,C7138,S019,25,2023-02-19,28.78,19.61,9.17,P01,门店堂食,1,25,13
O002433,E0030360,B2349,S009,14,2023-02-19,9.9,4.29,5.61,P02,第三方外卖,1,50,45
O002434,E0030365,C7878,S011,25,2023-02-19,15.87,9.44,6.43,P01,门店堂食,1,14,11
O002435,E0030379,C1791,S098,33,2023-02-20,18.93,10.3,8.63,P02,App到家,1,18,15
O002436,E0030389,C5814,S011,3,2023-02-20,15.22,9.44,5.78,P02,App到家,1,49,30
O002437,E0030409,B3886,S075,3,2023-02-20,36.2,22.55,13.65,P01,小程序到家,1,26,19
O002438,E0030417,C4715,S073,38,2023-02-20,45.81,28.51,17.3,P01,小程序到家,3,24,22
O002439,E0030420,B2631,S063,40,2023-02-20,49.12,28.84,20.28,P05,门店堂食,1,30,19
O002440,E0030425,C8137,S069,39,2023-02-20,57.98,34.8,23.18,P08,第三方外卖,2,41,36
O002441,E0030456,B0776,S080,28,2023-02-20,43.88,27.75,16.13,P04,第三方外卖,2,67,55
O002442,E0030463,C3186,S036,6,2023-02-20,28.9,18.38,10.52,P01,App到家,1,20,13
O002443,E0030472,A369,S027,9,2023-02-20,31.42,22.42,9.0,P03,门店堂食,1,30,18
O002444,E0030480,C5221,S034,12,2023-02-20,18.42,11.45,6.97,P01,小程序到家,1,18,18
O002445,E0030485,B0763,S043,9,2023-02-20,39.66,24.2,15.46,P05,App到家,1,15,17
O002446,E0030490,B1943,S030,38,2023-02-20,43.61,32.49,11.12,P01,App到家,1,25,14
O002447,E0030496,A374,S066,8,2023-02-20,11.48,5.55,5.93,P01,小程序到家,2,28,19
O002448,E0030498,B3237,S069,4,2023-02-20,59.06,34.8,24.26,P03,小程序到家,2,14,15
O002449,E0030501,A079,S016,30,2023-02-20,12.35,7.34,5.01,P01,第三方外卖,1,28,24
O002450,E0030504,C2474,S027,5,2023-02-20,32.15,22.42,9.73,P05,小程序到家,1,24,14
O002451,E0030506,B0182,S076,38,2023-02-20,15.75,9.18,6.57,P01,小程序到家,1,20,13
O002452,E0030510,C4662,S039,22,2023-02-20,25.66,13.52,12.14,P01,App到家,2,14,14
O002453,E0030538,C7913,S023,25,2023-02-20,22.55,14.45,8.1,P01,App到家,1,15,14
O002454,E0030543,C7435,S099,29,2023-02-20,12.34,6.24,6.1,P04,App到家,1,47,28
O002455,E0030560,B2074,S058,15,2023-02-20,19.28,11.88,7.4,P01,门店自提,1,21,16
O002456,E0030573,B0594,S015,22,2023-02-20,65.42,46.36,19.06,P01,门店堂食,1,18,12
O002457,E0030577,C7889,S037,15,2023-02-20,48.55,29.12,19.43,P03,门店自提,1,26,23
O002458,E0030580,B1595,S085,3,2023-02-20,12.77,6.7,6.07,P05,小程序到家,1,18,12
O002459,E0030582,A012,S026,9,2023-02-20,46.28,29.68,16.6,P01,第三方外卖,2,24,26
O002460,E0030585,C5785,S041,13,2023-02-20,9.9,7.07,2.83,P06,小程序到家,1,20,12
O002461,E0030590,B3198,S036,2,2023-02-20,55.88,36.75,19.13,P01,小程序到家,2,38,27
O002462,E0030622,C4655,S067,22,2023-02-20,9.9,2.1,7.8,P02,第三方外卖,1,34,32
O002463,E0030628,B3724,S051,40,2023-02-20,31.66,16.69,14.97,P01,门店堂食,2,19,14
O002464,E0030651,B0551,S083,27,2023-02-20,9.9,5.2,4.7,P01,门店自提,1,27,23
O002465,E0030652,C3542,S029,20,2023-02-20,39.6,27.84,11.76,P02,App到家,1,20,21
O002466,E0030656,B0750,S088,39,2023-02-20,32.76,19.26,13.5,P04,小程序到家,2,20,15
O002467,E0030658,C8264,S073,36,2023-02-20,15.56,9.5,6.06,P01,小程序到家,1,16,13
O002468,E0030661,B3611,S034,30,2023-02-20,18.1,11.45,6.65,P04,App到家,1,24,20
O002469,E0030666,B2032,S069,8,2023-02-20,29.64,17.4,12.24,P05,小程序到家,1,19,11
O002470,E0030671,C4908,S080,9,2023-02-20,9.9,13.88,-3.98,P06,小程序到家,1,12,10
O002471,E0030679,C7679,S046,4,2023-02-20,62.54,38.88,23.66,P03,小程序到家,2,29,23
O002472,E0030692,C5561,S050,37,2023-02-20,19.22,11.34,7.88,P03,第三方外卖,1,60,32
